sample_idx,sample_id,yelp_idx,yelp_business_id,match_confidence,best_name_source,name_similarity,base_name_similarity,sample_name,sample_base_name,yelp_name,best_categories_source,categories_similarity,base_categories_similarity,sample_categories,sample_base_categories,yelp_categories,best_address_source,address_similarity,base_address_similarity,sample_address,sample_base_address,yelp_address
11,08f44e8346794333033a01eb53999680,631,V8uKFuHyHKSOWojuhcP-2A,0.615,2,0.85,0.85,jeremiah's italian ice,jeremiah's italian ice,rita's italian ice,2,0.0,0.0,"['ice_cream_shop', 'bakery', 'diner']","['ice_cream_and_frozen_yoghurt', 'restaurant']","['desserts', 'food', 'ice_cream_&_frozen_yogurt', 'shaved_ice']",1,0.33,0.38,"790 montgomery hwy, vestavia hills, AL, 35216","790 montgomery highway ste 106, vestavia hills, AL, 35216","390 york rd, warminster, PA, 18974"
12,1407374887100674,118,RXpADfOCZBGi82-CGxYdsw,0.545,1,0.23,0.67,murphy usa,murphy express,monogram express,2,0.0,0.0,"['convenience_store', 'gas_station', 'automotive', 'retail']","['convenience_store', 'gas_station', 'automotive', 'retail']","['flowers_&_gifts', 'embroidery_&_crochet', 'uniforms', 'arts_&_crafts', 'home_&_garden', 'shopping', 'gift_shops', 'home_decor']",2,0.42,0.42,"4448 sunset blvd, lexington, SC, 29072","4448 sunset blvd, lexington, SC, 29072","2109 veterans memorial blvd, metairie, LA, 70002"
13,08f2ab2c4b89449a03e88d9391424fd1,17,M0XSSHqrASOnhgbWDJIpQA,0.44000000000000006,2,0.54,0.54,certa opportune,certa opportune,herb import,2,0.0,0.0,"['sign_making', 'graphic_designer', 'screen_printing_t_shirt_printing']",['sign_making'],"['vape_shops', 'tobacco_shops', 'personal_shopping', 'vitamins_&_supplements', 'shopping']",0,0.34,0.33,"2556 central ave unit b, N8W 4J5","2556 central avenue, unit b, windsor, ON, N8W 4J5","712 adams st, new orleans, LA, 70118"
14,1970324842101934,1471,HxWNz7RCoQMB5j3A_y5ieg,0.42,2,0.36,0.36,dtlr,dtlr,myeyedr,2,0.0,0.0,"['shoe_store', 'clothing_store', 'retail']","['shoe_store', 'clothing_store', 'retail']","['eyewear_&_opticians', 'shopping', 'health_&_medical', 'ophthalmologists', 'laser_eye_surgery/lasik', 'optometrists', 'doctors']",1,0.47,0.48,"4640 n southside plaza st, richmond, VA, 23224","4740 s e southside plaza, richmond, VA, 23224","850 s valley forge rd, ste 12, lansdale, PA, 19446"
15,08f281334dcd60a303d3ca8e7eff2b77,1329,diqXZ9CBFlIHW7i9UHefhw,0.655,2,1.0,1.0,burger king,burger king,burger king,2,0.0,0.0,"['fast_food_restaurant', 'burger_restaurant', 'restaurant']","['beverage_supplier', 'burger_restaurant', 'fast_food_restaurant', 'business_equipment_and_supply', 'food_and_beverage_consultant', 'restaurant', 'business_to_business']","['restaurants', 'burgers', 'fast_food']",2,0.31,0.31,"2561 campus dr, klamath falls, OR, 97601","2561 campus dr, klamath falls, OR, 97601","363 harding pl, nashville, TN, 37211"
16,08f1f8ed8172e8b203a9f0a42e5a8224,571,WmnPtMtY0elYVStooCTfng,0.445,2,0.53,0.53,bellaiuto coiffure,bellaiuto coiffure,barista cafe,2,0.0,0.0,"['hair_stylist', 'hair_salon', 'beauty_and_spa']","['hair_stylist', 'hair_salon', 'beauty_and_spa']","['breakfast_&_brunch', 'coffee_&_tea', 'sandwiches', 'food', 'restaurants', 'cafes']",2,0.36,0.36,"wangenstrasse 5, dübendorf, ZURICH, 08600","wangenstrasse 5, dübendorf, ZÜRICH, 08600","529 cinnaminson ave, palmyra, NJ, 08065"
17,08f44e554128900503a7df0284a7d549,6922,JwalurKNopGuop9tB2eBRA,0.57,2,0.57,0.57,lulu's bar & resto,lulu's bar & resto,bay bayou rv resort,2,0.0,0.0,"['bar_and_grill_restaurant', 'restaurant', 'diner']","['pub', 'bar', 'restaurant']","['campgrounds', 'hotels_&_travel', 'rv_parks']",2,0.57,0.57,"9902 s thomas dr, panama city beach, FL, 32408","9902 s thomas dr, panama city beach, FL, 32408","8492 manatee bay dr, tampa, FL, 33635"
18,1125899912492752,6391,A2a0dPK1W4E1pMaefhNxBg,0.48,2,0.37,0.37,fastest labs pittsburgh,fastest labs pittsburgh,rosenbaum & associates,2,0.0,0.0,"['laboratory_testing', 'clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'laboratory', 'health_and_medical', 'business_to_business']","['laboratory_testing', 'clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'laboratory', 'health_and_medical', 'business_to_business']","['lawyers', 'professional_services', 'personal_injury_law', 'legal_services']",1,0.42,0.59,"100 fleet st, pittsburgh, PA, 15220","100 fleet st ste 103, pittsburgh, PA, 15220","1818 market st, ste 3200, philadelphia, PA, 19103"
19,08f26ea82388e7990365b4a4be4226e2,872,BkmVHg6HjHWMc0OFxcd6VQ,0.49,2,0.58,0.58,jill r johnson aprn cnp,jill r johnson aprn cnp,hair by audrey johnson,2,0.0,0.0,"['nurse_practitioner', 'health_and_medical']","['nurse_practitioner', 'health_and_medical']","['hair_stylists', 'beauty_&_spas', 'hair_extensions', 'hair_salons']",2,0.4,0.4,"1021 e bryan ave, sapulpa, OK, 74066","1021 e bryan ave, sapulpa, OK, 74066","santa barbara, CA, 93108"
21,08f2659a2d05a4b103cc0338dfb94fa1,7505,vPlhhf6CcB5dzQv1sEwlvg,0.595,2,0.71,0.71,orangetheory fitness,orangetheory fitness,planet fitness,2,0.125,0.125,"['gym', 'active_life', 'health_and_medical']","['boot_camp', 'gym', 'active_life']","['gyms', 'fitness_&_instruction', 'tanning', 'trainers', 'beauty_&_spas', 'active_life']",0,0.48,0.46,"4615 poplar ave, memphis, TN, 38117","4615 poplar ave 12, memphis, TN, 38117","4880 nolensville pike rd, nashville, TN, 37211"
22,1407374885778830,1508,ZrkdPWQicriMCcDVDX0dCA,0.535,0,0.76,0.53,fitness together,fitness together - jenks riverside,retro fitness,2,0.25,0.25,"['gym', 'active_life']","['gym', 'active_life']","['fitness_&_instruction', 'active_life', 'gyms']",2,0.31,0.31,"9708 riverside pkwy ste d, tulsa, OK, 74137","9708 riverside pkwy ste d, tulsa, OK, 74137","105 franklin mills blvd, philadelphia, PA, 19154"
23,08f2a1054d2dd7b003431719d93037ed,23937,jYbu6juABu0ZNiVqADL-TQ,0.45999999999999996,2,0.43,0.43,rei,rei,burger king,2,0.0,0.0,"['outdoor_gear', 'sporting_goods']","['t_shirt_store', 'outdoor_gear', 'clothing_store', 'retail']","['burgers', 'restaurants', 'fast_food']",2,0.49,0.49,"2200 bergen town ctr, paramus, NJ, 07652","2200 bergen town ctr, paramus, NJ, 07652","208 hanover st, pemberton, NJ, 08068"
24,08f2986a82c92b5003309ff5c3c715bf,8063,bKgyXSQUGA8IHGt8ne5NuA,0.69,2,1.0,1.0,chipotle mexican grill,chipotle mexican grill,chipotle mexican grill,2,0.0,0.0,"['mexican_restaurant', 'eat_and_drink']","['fast_food_restaurant', 'mexican_restaurant', 'restaurant']","['restaurants', 'mexican', 'fast_food']",2,0.38,0.38,"6780 n 5th st, north las vegas, NV, 89084","6780 n 5th st, north las vegas, NV, 89084","6395 s mccarran blvd, unit a, reno, NV, 89509"
25,1125899908867665,928,hfN3l0gJ-XszD1XFGNvA6A,0.49,2,0.55,0.55,garage,garage,akira,2,0.0,0.0,"['designer_clothing', 'clothing_store', 'retail']","['designer_clothing', 'clothing_store', 'retail']","['japanese', 'restaurants']",0,0.43,0.41,"900 maple ave, #b29, burlington, ON, L7S 2J8","900 maple avenue, #b29, burlington, ON, L7S 2J8","720 haddon ave, collingswood, NJ, 08108"
26,08f2a8c10a6a681003edc1e418ee0a32,272,rYOrSXy2I4BcxB7dhg29uA,0.525,2,0.56,0.56,charlottesville voter registration,charlottesville voter registration,restoration hardware,2,0.0,0.0,"['public_service_and_government', 'public_and_government_association', 'central_government_office']",['registry_office'],"['shopping', 'furniture_stores', 'home_&_garden']",0,0.49,0.47,"120 7th st ne, charlottesville, VA, 22902","120 7th st ne ste 122, charlottesville, VA, 22902","2126 abbott martin rd, ste 265, nashville, TN, 37215"
27,08f44c2011985b0e030204dcf297b66d,64,qfWJmJ0g96eM_fWma3ja0g,0.42,2,0.43,0.43,waynesboro chrysler dodge jeep ram,waynesboro chrysler dodge jeep ram,doc magrogan's oyster house - west chester,2,0.0,0.0,"['car_dealer', 'automotive_dealer', 'automotive_repair']","['auto_parts_and_supply_store', 'used_car_dealer', 'automotive', 'retail']","['seafood', 'restaurants', 'bars', 'nightlife', 'cocktail_bars', 'american_(new)', 'pubs']",2,0.41,0.41,"480 us highway 25 n, waynesboro, GA, 30830","480 us highway 25 n, waynesboro, GA, 30830","117 e gay st, west chester, PA, 19380"
28,08f2662cb451449b03d49dcac24ed54a,24295,M8aovMTTMQ3iwy7w1npc1w,0.475,2,0.54,0.54,viviane m santos cnp,viviane m santos cnp,valvoline instant oil change,2,0.0,0.0,"['health_consultant', 'doctor', 'active_life']","['health_consultant', 'doctor', 'active_life', 'health_and_medical']","['oil_change_stations', 'auto_repair', 'automotive']",2,0.41,0.41,"5111 n glen park place rd, peoria, IL, 61614","5111 n glen park place rd, peoria, IL, 61614","3801 south state route 159, glen carbon, IL, 62034"
29,08f1f1a9ab72151e0395f93e968c61b9,106,vje0KIiE7vtpx7JzmBx5LQ,0.53,0,0.67,0.3,aral,aral tankstelle,pearl,2,0.0,0.0,"['gas_station', 'automotive', 'travel']","['gas_station', 'automotive']","['restaurants', 'french', 'moroccan', 'seafood', 'mediterranean']",0,0.39,0.29,"volkmannstraße 19, halle (saale), 06112","volkmannstr. 19, halle (saale), SAXONY-ANHALT, 06112","163 107th ave, treasure island, FL, 33706"
31,08f44e06aa0b5a4a03caf2e60bd69a4a,356,yooufdsf3eAVq_9RQNSDJA,0.5700000000000001,2,0.55,0.55,terminix,terminix,mazzoni center,2,0.0,0.0,['pest_control_service'],['pest_control_service'],"['local_services', 'community_service/non-profit', 'health_&_medical', 'doctors', 'family_practice', 'medical_centers', 'counseling_&_mental_health']",2,0.59,0.59,"334 s collier st, bainbridge, GA, 39819","334 s collier st, bainbridge, GA, 39819","1348 bainbridge st, fl 2, philadelphia, PA, 19147"
32,08f1faea1a71d7250355b13ab53cefdb,915,skN2XhKXlcjf53uIwzAedw,0.43,2,0.39,0.39,kupferstecher frankfurt,kupferstecher frankfurt,burger up - franklin,1,0.0,0.1,"['restaurant', 'german_restaurant', 'burger_restaurant']","['burger_restaurant', 'cafe', 'pizza_restaurant', 'salad_bar', 'food', 'restaurant']","['burgers', 'desserts', 'restaurants', 'food', 'salad']",0,0.47,0.43,"merianplatz 3, frankfurt am main, 60316","merianplatz 3, frankfurt am main, HESSEN, 60316","401 cool springs blvd, franklin, TN, 37067"
34,08f26567197a3b3603beda847a81c35f,770,2DsplH_vy4GCcEnVpn0AbA,0.465,2,0.53,0.53,kc solar,kc solar,cafe olivia,2,0.0,0.0,"['energy_equipment_and_solution', 'solar_installation', 'home_improvement_store']","['energy_equipment_and_solution', 'solar_installation', 'business_equipment_and_supply', 'business_to_business']","['sandwiches', 'breakfast_&_brunch', 'food_stands', 'italian', 'restaurants']",1,0.34,0.4,"8101 college blvd, overland park, KS, 66210","8101 college blvd ste 100, overland park, KS, 66210","222 e market st, indianapolis, IN, 46204"
35,1125899912260220,21533,E13foSRTUHkayJ41JDtHzA,0.78,2,0.87,0.87,commerce bank atm,commerce bank atm,commerce bank,2,0.0,0.0,['atms'],['atms'],"['banks_&_credit_unions', 'real_estate', 'mortgage_brokers', 'financial_services', 'home_services', 'investing']",2,0.69,0.69,"1020 s 5th st, saint charles, MO, 63301","1020 s 5th st, saint charles, MO, 63301","1101 1st capitol dr, saint charles, MO, 63301"
36,08f266d4a16a03ab0311ad6f84dc7077,649,oSp8B87eQ8droCGiWUERZA,0.49,2,0.48,0.48,mr roof louisville,mr roof louisville,moose music row,2,0.0,0.0,"['roofing', 'contractor', 'home_improvement_store']","['roofing', 'ceiling_service', 'ceiling_and_roofing_repair_and_service']","['hair_salons', 'massage', 'beauty_&_spas', 'barbers']",1,0.33,0.5,"3600 chamberlain ln, louisville, KY, 40241","2304 ralph ave, louisville, KY, 40216","1203 16th ave s, nashville, TN, 37212"
37,08f44c021830026803d17bc7c5fb545d,914,Htnv87XCc9GXuE6hKEHnNg,0.53,2,0.59,0.59,campbell veterinary hospital,campbell veterinary hospital,caring hands veterinary clinic,1,0.0,0.2,"['veterinarian', 'hospital', 'social_service_organizations']","['animal_hospital', 'pet_services', 'veterinarian', 'pets']","['veterinarians', 'pets']",2,0.47,0.47,"106 walmart dr, eatonton, GA, 31024","102 walmart dr, eatonton, GA, 31024","3310 grant ave, philadelphia, PA, 19114"
38,08f2a100d8654204037ff5b80140ed5d,542,bf34LpGej_MZbOlAKB1beQ,0.495,2,0.56,0.56,local locker storage,local locker storage,sherbrooke liquor store,2,0.0,0.0,"['self_storage_facility', 'storage_facility']",['self_storage_facility'],"['beer', 'wine_&_spirits', 'food']",2,0.43,0.43,"1320 fulton st, brooklyn, NY, 11216","1320 fulton st., brooklyn, NY, 11216","11819 saint albert trail nw, edmonton, AB, T5L 5B5"
39,08f1ea4c402c36690356e3ca028ae6f9,735,hK59rATCI9o_rmeQu57RWw,0.45499999999999996,0,0.41,0.22,residence malcesine,residence malcesine active & family,de ville coffee house & creperie,2,0.0,0.0,"['hotel', 'landmark_and_historical_building', 'holiday_rental_home']","['hotel', 'condominium', 'cabin', 'inn', 'motel', 'architecture', 'holiday_rental_home']","['coffee_&_tea', 'food']",2,0.5,0.5,"via navene vecchia, 135, malcesine, 34, 37018","via navene vecchia, 135, malcesine, VR, 37018","508 dumaine st, new orleans, LA, 70116"
40,08f2e614569a86580306294dc87fd829,1185,EvZxyqrR2xej3CT14pLa7w,0.44,0,0.63,0.2,kyoto imperial palace,,an american place,2,0.0,0.0,"['palace', 'hotel']","['landmark_and_historical_building', 'park', 'public_plaza']","['restaurants', 'american_(new)']",0,0.25,0.12,"京都市上京区京都御苑3 (3kyotogyoen, kamigyo ward, kyoto)nn, kyoto-shi, 26","京都府京都市上京区京都御苑３, 京都市上京区, 00602","822 washington ave, saint louis, MO, 63101"
42,08f1f916e27045180352f04913bc42cc,608,yFqq66GxRjnhZXPgjA6hnw,0.5,0,0.57,0.12,fnac,fnac chamb ry,kfc,2,0.0,0.0,"['health_and_medical', 'hospital']","['department_store', 'bookstore', 'electronics']","['restaurants', 'chicken_shop', 'fast_food', 'chicken_wings']",1,0.33,0.43,"11 rue doppet, 73000","1 place de genève, chambéry, 73000","716 adams ave, philadelphia, PA, 19124"
43,1407374885598016,11577,aDn90OI3HgzO8A2FO46j9Q,0.835,2,1.0,1.0,mister car wash,mister car wash,mister car wash,2,0.6,0.6,"['auto_detailing', 'car_wash', 'automotive']","['auto_detailing', 'car_wash', 'automotive']","['car_wash', 'auto_detailing', 'oil_change_stations', 'automotive', 'gas_stations']",2,0.67,0.67,"1435 w river rd, tucson, AZ, 85704","1435 w river rd, tucson, AZ, 85704","8175 n oracle rd, tucson, AZ, 85704"
44,08f44a18511700c5039a1e230fdc197c,8645,QZIcM5_vqVgIQj9z8J0a5g,0.72,2,1.0,1.0,smoothie king,smoothie king,smoothie king,2,0.0,0.0,"['smoothie_juice_bar', 'eat_and_drink']","['smoothie_juice_bar', 'health_market', 'restaurant', 'retail']","['specialty_food', 'juice_bars_&_smoothies', 'food', 'health_markets']",2,0.44,0.44,"12520 sw 88th st, miami, FL, 33186","12520 sw 88th st, miami, FL, 33186","13100 seminole blvd, ste 104, largo, FL, 33778"
46,08f3da11a880352a03e1b552a441aa16,1889,ZpXgr1Vq2wl1qS2SWB-eoQ,0.435,1,0.36,0.5,ebowla gurgaon,ebowla club & byob,cyclebar,2,0.0,0.0,['dance_club'],"['dance_club', 'restaurant', 'bar']","['cycling_classes', 'gyms', 'fitness_&_instruction', 'active_life']",1,0.24,0.37,"signature tower crossing, near star mall, main, delhi - jaipur expy, sector 30, gurugram, haryana 122001, gurugram, 122001","signature tower, crossing, delhi - jaipur expy, 122001","12697 pennsylvania st, carmel, IN, 46032"
47,08f1e33450db537303a4d343dac8ccdc,576,jGewGnIYcf9LFBcR8lMC5g,0.565,1,0.32,0.74,cella caf,cella caf bar & restaurant,picasso restaurant & bar,2,0.0,0.0,"['cafe', 'restaurant', 'internet_cafe']","['coffee_shop', 'restaurant']","['italian', 'spanish', 'restaurants', 'food']",1,0.31,0.39,"kurhotel bad zell, kurhausstraße 9, bad zell, 4, 04283","kurhausstraße 9, bad zell, bad zell, 04283","36 w state st, media, PA, 19063"
48,1125899911221207,302,qps-oF95uqPoV7fiXn-dpg,0.41500000000000004,2,0.44,0.44,mike mcclaskie - state farm insurance agent,mike mcclaskie - state farm insurance agent,bear's skin art studio,2,0.0,0.0,"['auto_insurance', 'home_and_rental_insurance']","['auto_insurance', 'home_and_rental_insurance']","['beauty_&_spas', 'tattoo', 'piercing']",2,0.39,0.39,"2810 london groveport rd, grove city, OH, 43123","2810 london groveport rd, grove city, OH, 43123","11217 143 street nw, edmonton, AB, T5P 3M8"
49,08f2af62655ad02303c1c002aed33a25,1141,wgcSbX3osqRibWW7pVyfww,0.47000000000000003,0,0.55,0.16,code ninjas,code ninjas virginia beach,jack in box,2,0.0,0.0,"['education', 'specialty_school', 'b2b_science_and_technology']","['kids_recreation_and_party', 'specialty_school', 'education']","['burgers', 'fast_food', 'restaurants', 'breakfast_&_brunch', 'mexican', 'tacos']",1,0.38,0.39,"3300 princess anne rd, virginia beach, VA, 23456","3300 princess anne rd ste 739, virginia beach, VA, 23456","1202 w st marys rd, tucson, AZ, 85745"
50,08f2664c9939219403dbde16d5780a75,4680,j-MaqsJB_3wuO8RwZqXRxA,0.44,2,0.4,0.4,bp,bp,brow spa,2,0.0,0.0,"['gas_station', 'convenience_store', 'shopping']","['gas_station', 'automotive']","['hair_removal', 'medical_spas', 'skin_care', 'waxing', 'health_&_medical', 'beauty_&_spas', 'eyelash_service']",2,0.48,0.48,"6749 ogden ave, berwyn, IL, 60402","6749 ogden ave, berwyn, IL, 60402","10 lincoln hwy, ste 102a, fairview heights, IL, 62208"
52,08f1f2d6b121bae9037c5aa065d85015,1551,dcHPZZ6lgqm_VAcQjOUoMg,0.475,2,0.5,0.5,teamolmed kalmar,teamolmed kalmar,mr smoke,2,0.0,0.0,"['medical_research_and_development', 'health_and_medical', 'medical_service_organizations']","['hospital', 'orthotics', 'health_and_medical']","['tobacco_shops', 'vape_shops', 'head_shops', 'shopping']",1,0.37,0.45,"malmbrogatan 14, 392 35","malmbrogatan 14, kalmar, KALMAR LÄN, 392 35","11125 n dale mabry hwy, tampa, FL, 33618"
53,281474977374045,575,QTsscMMSMJbWGjGktvQwZA,0.53,0,0.55,0.45,interstate battery,interstate all battery center,modern printers,2,0.0,0.0,"['battery_store', 'auto_parts_and_supply_store', 'automotive', 'retail']","['battery_store', 'auto_parts_and_supply_store', 'automotive', 'retail']","['local_services', 'printing_services']",2,0.51,0.51,"52 daniel webster hwy, merrimack, NH, 03054","52 daniel webster hwy, merrimack, NH, 03054","714 n main st, meridian, ID, 83642"
54,08f2a101ab4a4d6603318d4b9c6dea88,45,wghnIlMb_i5U46HMBGx9ig,0.595,2,0.73,0.73,carlo's restaurant,carlo's restaurant,china dragon restaurant,2,0.0,0.0,"['italian_restaurant', 'restaurant', 'pizza_restaurant']","['pizza_restaurant', 'sandwich_shop', 'restaurant']","['restaurants', 'chinese']",2,0.46,0.46,"668 tuckahoe rd, yonkers, NY, 10710","668 tuckahoe rd, yonkers, NY, 10710","1625 w valencia rd, ste 101-103, tucson, AZ, 85746"
55,1407374891495088,1316,8UDUCZcdrAL43UaaQWHQ6w,0.43,2,0.48,0.48,sainsbury's,sainsbury's,busy nails,2,0.0,0.0,"['korean_grocery_store', 'supermarket', 'retail']","['korean_grocery_store', 'supermarket', 'retail']","['beauty_&_spas', 'nail_salons']",2,0.38,0.38,"unit 28, kennedy centre, falls road, belfast, BT11 9AE","kennedy centre, falls road, unit 28, belfast, BT11 9AE","11220 dr mlk jr blvd e, seffner, FL, 33584"
56,1125899909415294,1630,plobBsTtVUODb353xxFT_g,0.49,2,0.67,0.67,bento sushi,bento sushi,sushi rose,2,0.0,0.0,"['sushi_restaurant', 'food', 'restaurant']","['sushi_restaurant', 'food', 'restaurant']","['sushi_bars', 'restaurants']",2,0.31,0.31,"945 gardiners rd, kingston, ON, K7M 7H4","945 gardiners road, kingston, ON, K7M 7H4","2005 sierra highlands dr, ste 147a, reno, NV, 89523"
57,08f1e9a009660cb00355eadd4822414d,1455,zQKzntycRKXbDHSjrwkYkw,0.475,1,0.31,0.46,poltronesofa,poltronesof palermo,poison apple tattoos,2,0.0,0.0,"['furniture_store', 'bar']",['retail'],"['tattoo', 'arts_&_entertainment', 'beauty_&_spas', 'art_galleries', 'shopping']",1,0.38,0.49,"via ugo la malfa, 7, palermo, 82, 90146","via ugo la malfa 7, palermo, PA, 90134","171 w girard ave, philadelphia, PA, 19123"
58,2251799821514759,1079,VJnq2lgXILRaGuXXlmRztw,0.565,2,0.51,0.51,giant eagle,giant eagle supermarket,eagles peak spring water,2,0.0,0.0,"['pharmacy', 'drugstore', 'retail']","['supermarket', 'retail']","['coffee_&_tea', 'food', 'water_delivery', 'local_services']",2,0.62,0.62,"3701 state route 88, finleyville, PA, 15332","3701 state route 88, finleyville, PA, 15332","584 rte 313, fountainville, PA, 18923"
59,08f28d1aacab0c5503f03bc3cacd7057,703,UX3eq0WsVva-cqlVrzyzFg,0.435,2,0.39,0.39,fan favourites games & movies,fan favourites games & movies,cantina los tres hombres,2,0.0,0.0,"['video_game_store', 'music_and_dvd_store', 'toy_store']","['video_game_store', 'books_mags_music_and_video', 'hobby_shop', 'toy_store', 'retail']","['bars', 'nightlife', 'mexican', 'restaurants', 'seafood']",1,0.46,0.48,"760 yates st, victoria, BC, V8W 1L4","760-b yates st, victoria, BC, V8W 1L4","926 victorian ave, sparks, NV, 89431"
